Course Code,Course Title,Prerequisite Code,Prerequisite Title
UNR1403,Academic English,-,None
UNR1302,Fundamentals of Business,-,None
UNRxxxx,University Req. Elective,-,None
EBA1203,Calculus I,-,None
EBA1110,Physics,-,None
CCS1101,Introduction to Computing,-,None
CIS1000,Introduction to Information Systems,-,None
EBA0201 *,Precalculus,-,None
GLA0001 *,Remedial English,-,None
UNR2101,Communication and Presentation Skills,UNR1403,Academic English
EBA1204,Calculus II,EBA1203,Calculus I
EBAxxxx,Science Elective,-,None
CCS1001,Discrete Structures,CCS1101,Introduction to Computing
CCS1302,Problem Solving and Programming,CCS1101,Introduction to Computing
CCS2102,Digital Logic Design,CCS1101,Introduction to Computing
CCS2103,Introduction to Computer Architecture,CCS2102,Digital Logic Design
CCS2303,Object-Oriented Programming,CCS1302,Problem Solving and Programming
EBA2204,Linear algebra,EBA1204,Calculus II
CCS2201,Introduction to Networks,CCS1302,Problem Solving and Programming
CIS2101,Database Systems,CCS1302,Problem Solving and Programming
EBA2203,Probability & Statistics,EBA1204,Calculus II
CCS2401,Data Structures and Algorithms,CCS2303,Object Oriented Programming
CSE2001,Introduction to Software Engineering,"CCS2303,CIS1000","Object Oriented Programming, Introduction to IS"
CCS2304,Advanced Programming Applications,CCS2303,Object Oriented Programming
CCS2305,Web Programming,CIS2101,Database Systems
CCY2001,Introduction to Cybersecurity,CCS2201,Introduction to Networks
UNR4201,Professional Ethics and Practice Law,30 CR. or more,
CNC1401,Entrepreneurship Skills,15 CR. or more,
CAI3101,Introduction to Artificial Intelligence,"CCS1001,CCS2401","Discrete Structures, Data Structures"
EBA3202,Differential Equations,EBA1204,Calculus II
CCS3202,Systems Programming,"CCS2303,CCS2103","Object Oriented Programming, Introduction to Computer Architecture"
CCS3402,Theory of Computation,CCS1001,Discrete Structures
CCS3203,Operating Systems,"CCS2103,CCS2401","Introduction to Computer Architecture, Data Structures"
CIT3200,Professional Training in Mobile Apps Programming,-,
EBA3201,Advanced Statistics,EBA2203,
CCS3501,Computer Graphics,"CCS2401,EBA2204",
CCS3403,Computing Algorithms,CCS2401,
CCS3002,Numerical Methods,"EBA2204,CCS1302",
CCS3003,System Modeling and Simulation,"EBA2203,CCS2303",
CITxxxx,Professional Training I,-,
CCS4306,Structure of Programming Languages,"CCS3402,CCS3202",
CCS4903,Computing and Society,90 CR or more,
CCS4901,Project I,93 CR or more,
CCSxxxx,Major Elective,-,
CCSxxxx,Major Elective,-,
CITxxxx,Professional Training II,-,
CCS4204,Computer System Security,"CCS3203,CCY2001",
CCS4502,Human Computer Interaction,CSE2001,
CCS4902,Project II,CCS4901,
CCSxxxx,Major Elective,-,
CCSxxxx,Major Elective,-,
CITxxxx,Professional Training III,-,
UNR1407, Academic Writing,UNR1403,
CIT4000,Practical Training,90 CR. or more,
CIT3200,Professional Training in Mobile Apps Programming,-,
CIT3101,Professional Training in Software Testing I,-,
CIT4102,Professional Training in Software Testing II,-,
CIT4103,Professional Training in Software Testing III,-,
CIT3211,Professional Training in Programming I,-,
CIT4212,Professional Training in Programming II,-,
CIT4213,Professional Training in Programming III,-,
CIT3301,Professional Training in Networking I,-,
CIT4302,Professional Training in Networking II,-,
CIT4303,Professional Training in Networking III,-,
CIT3401,Professional Training in Operating Systems I,-,
CIT4402,Professional Training in Operating Systems II,-,
CIT4403,Professional Training in Operating Systems III,-,
CIT3411,Professional Training in Cloud Computing I,-,
CIT4412,Professional Training in Cloud Computing II,-,
CIT4413,Professional Training in Cloud Computing III,-,
CIT3501,Professional Training in Cybersecurity I,-,
CIT4502,Professional Training in Cybersecurity II,-,
CIT4503,Professional Training in Cybersecurity III,-,
CIT3601,Professional Training in AI I,-,
CIT4602,Professional Training in AI II,-,
CIT4603,Professional Training in AI III,-,
CIT3701,Professional Training in Database I,-,
CIT4702,Professional Training in Database II,-,
CIT4703,Professional Training in Database III,-,
CIT3711,Professional Training in ERP I,-,
CIT4712,Professional Training in ERP II,-,
CIT4713,Professional Training in ERP III,-,
CIT3721,Professional Training in GIS I,-,
CIT4722,Professional Training in GIS II,-,
CIT4723,Professional Training in GIS III,-,
CIT3801,Professional Training in Multimedia I,-,
CIT4802,Professional Training in Multimedia II,-,
CIT4803,Professional Training in Multimedia III,-,
CIT3901,Professional Training in Data Science I,-,
CIT4902,Professional Training in Data Science II,-,
CIT4903,Professional Training in Data Science III,-,
